"name","total","male","female"
"Mongolia","70.1380","66.0580","74.4020"
"Cambodia","70.1000","67.7880","72.2140"
"Guyana","70.0400","67.0280","73.2740"
"India","69.9600","68.7400","71.2920"
"Timor-Leste","69.7680","67.7560","71.9200"
"Botswana","69.5520","66.4440","72.3580"
"Rwanda","69.3760","67.1580","71.5000"
"Kiribati","68.6980","64.5600","72.6600"
"Turkmenistan","68.3700","64.8640","71.9140"
"Senegal","68.3100","66.1120","70.2960"
"Laos","68.3100","66.4960","70.1700"
"Micronesia","68.0420","66.3520","69.7940"
"Fiji","67.6540","65.8400","69.6140"
"Madagascar","67.5220","65.8740","69.1920"
"Pakistan","67.4820","66.5060","68.5400"
"Myanmar","67.3720","64.2580","70.3860"
"Djibouti","67.3380","65.3360","69.5920"
"Ethiopia","67.0740","65.1520","69.0320"
"Kenya","66.9540","64.5520","69.3220"
"Eritrea","66.7840","64.5960","69.0340"
"Gabon","66.6420","64.5620","68.8460"
"Yemen","66.2760","64.5760","67.9880"
"Tanzania","65.7700","63.9280","67.5900"
"Sudan","65.6340","63.7600","67.5380"
"Afghanistan","65.2940","63.8220","66.8780"
"Mauritania","65.1860","63.5280","66.8160"
"Papua New Guinea","64.7920","63.5280","66.1520"
"Republic of the Congo","64.7900","63.2820","66.2660"
"Malawi","64.7440","61.5860","67.8900"
"Comoros","64.6100","62.8520","66.4320"
"Liberia","64.4400","63.0120","65.8760"
"Ghana","64.4240","63.3080","65.5660"
"Haiti","64.4020","62.2100","66.5980"
"South Africa","64.3760","60.9720","67.9080"
"Zambia","64.1240","61.1000","67.1140"
"Namibia","64.1240","61.1140","66.9220"
"Uganda","63.7320","61.3620","65.9900"
"Niger","62.8920","61.7220","64.1220"
"Gambia","62.5720","61.1480","64.0180"
"Benin","62.2240","60.6380","63.8020"
"Burkina Faso","62.1560","61.2800","62.9080"
"Burundi","62.0340","60.1980","63.8560"
"Guinea","62","61.2060","62.5620"
"Zimbabwe","61.6280","59.8980","63.0840"
"Angola","61.5480","58.8080","64.4400"
"Togo","61.4900","60.5640","62.3960"
"Mozambique","61.2980","58.2340","64.1100"
"DR Congo","61.0440","59.4860","62.6220"
"Eswatini","60.3540","56.2560","64.9540"
"Mali","59.8080","58.9980","60.6180"
"Cameroon","59.7000","58.4060","61.0040"
"Equatorial Guinea","59.1920","58.1640","60.4120"
"Guinea-Bissau","58.7560","56.7060","60.6820"
"South Sudan","58.2120","56.7060","59.7620"
"Ivory Coast","58.1460","56.9280","59.5060"
"Somalia","57.7800","56.0880","59.5300"
"Sierra Leone","55.1800","54.3020","56.0080"
"Nigeria","55.1220","54.2000","56.0820"
"Lesotho","54.7940","51.6720","58.0400"
"Chad","54.6220","53.2020","56.0740"
"Central African Republic","53.6840","51.4960","55.8960"
